,data,dia_semana,feriado,festas,feriado - dia anterior,feriado - 2 dias anteriores,feriado - dia seguinte,feriado - daqui a 2 dias,festas - dia anterior,festas - 2 dias anteriores,festas - dia seguinte,festas - daqui a 2 dias
720,2019-12-22,Sunday,,,,,,,,,,
721,2019-12-23,Monday,,,,,,Natal,,,,
722,2019-12-24,Tuesday,,,,,Natal,,,,,
723,2019-12-25,Wednesday,Natal,,,,,,,,,
724,2019-12-26,Thursday,,,Natal,,,,,,,
725,2019-12-27,Friday,,,,Natal,,,,,,
726,2019-12-28,Saturday,,,,,,,,,,
727,2019-12-29,Sunday,,,,,,,,,,
728,2019-12-30,Monday,,,,,,Ano Novo,,,,
729,2019-12-31,Tuesday,,,,,Ano Novo,,,,,
730,2020-01-01,Wednesday,Ano Novo,,,,,,,,,
731,2020-01-02,Thursday,,,Ano Novo,,,,,,,
732,2020-01-03,Friday,,,,Ano Novo,,,,,,
733,2020-01-04,Saturday,,,,,,,,,,
734,2020-01-05,Sunday,,,,,,,,,,
735,2020-01-06,Monday,,,,,,,,,,
736,2020-01-07,Tuesday,,,,,,,,,,
737,2020-01-08,Wednesday,,,,,,,,,,
738,2020-01-09,Thursday,,,,,,,,,,
739,2020-01-10,Friday,,,,,,,,,,
740,2020-01-11,Saturday,,,,,,,,,,
741,2020-01-12,Sunday,,,,,,,,,,
742,2020-01-13,Monday,,,,,,,,,,
743,2020-01-14,Tuesday,,,,,,,,,,
744,2020-01-15,Wednesday,,,,,,,,,,
745,2020-01-16,Thursday,,,,,,,,,,
746,2020-01-17,Friday,,,,,,,,,,
747,2020-01-18,Saturday,,,,,,,,,,
748,2020-01-19,Sunday,,,,,,,,,,
749,2020-01-20,Monday,,,,,,,,,,
750,2020-01-21,Tuesday,,,,,,,,,,
751,2020-01-22,Wednesday,,,,,,,,,,
752,2020-01-23,Thursday,,,,,,,,,,
753,2020-01-24,Friday,,,,,,,,,,
754,2020-01-25,Saturday,,,,,,,,,,
755,2020-01-26,Sunday,,,,,,,,,,
756,2020-01-27,Monday,,,,,,,,,,
757,2020-01-28,Tuesday,,,,,,,,,,
758,2020-01-29,Wednesday,,,,,,,,,,
759,2020-01-30,Thursday,,,,,,,,,,
760,2020-01-31,Friday,,,,,,,,,,
761,2020-02-01,Saturday,,,,,,,,,,
762,2020-02-02,Sunday,,,,,,,,,,
763,2020-02-03,Monday,,,,,,,,,,
764,2020-02-04,Tuesday,,,,,,,,,,
765,2020-02-05,Wednesday,,,,,,,,,,
766,2020-02-06,Thursday,,,,,,,,,,
767,2020-02-07,Friday,,,,,,,,,,
768,2020-02-08,Saturday,,,,,,,,,,
769,2020-02-09,Sunday,,,,,,,,,,
770,2020-02-10,Monday,,,,,,,,,,
771,2020-02-11,Tuesday,,,,,,,,,,
772,2020-02-12,Wednesday,,,,,,,,,,
773,2020-02-13,Thursday,,,,,,,,,,
774,2020-02-14,Friday,,,,,,,,,,
775,2020-02-15,Saturday,,,,,,,,,,
776,2020-02-16,Sunday,,,,,,,,,,
777,2020-02-17,Monday,,,,,,,,,,
778,2020-02-18,Tuesday,,,,,,,,,,
779,2020-02-19,Wednesday,,,,,,,,,,
780,2020-02-20,Thursday,,,,,,,,,,
781,2020-02-21,Friday,,,,,,,,,,
782,2020-02-22,Saturday,,,,,,,,,,
783,2020-02-23,Sunday,,,,,,Carnaval,,,,
784,2020-02-24,Monday,,,,,Carnaval,,,,,
785,2020-02-25,Tuesday,Carnaval,,,,,,,,,
786,2020-02-26,Wednesday,,,Carnaval,,,,,,,
787,2020-02-27,Thursday,,,,Carnaval,,,,,,
788,2020-02-28,Friday,,,,,,,,,,
789,2020-02-29,Saturday,,,,,,,,,,
790,2020-03-01,Sunday,,,,,,,,,,
791,2020-03-02,Monday,,,,,,,,,,
792,2020-03-03,Tuesday,,,,,,,,,,
793,2020-03-04,Wednesday,,,,,,,,,,
794,2020-03-05,Thursday,,,,,,,,,,
795,2020-03-06,Friday,,,,,,,,,,
796,2020-03-07,Saturday,,,,,,,,,,
797,2020-03-08,Sunday,,,,,,,,,,
798,2020-03-09,Monday,,,,,,,,,,
799,2020-03-10,Tuesday,,,,,,,,,,
800,2020-03-11,Wednesday,,,,,,,,,,
801,2020-03-12,Thursday,,,,,,,,,,
802,2020-03-13,Friday,,,,,,,,,,
803,2020-03-14,Saturday,,,,,,,,,,
804,2020-03-15,Sunday,,,,,,,,,,
805,2020-03-16,Monday,,,,,,,,,,
806,2020-03-17,Tuesday,,,,,,,,,,
807,2020-03-18,Wednesday,,,,,,,,,,
808,2020-03-19,Thursday,,,,,,,,,,
809,2020-03-20,Friday,,,,,,,,,,
810,2020-03-21,Saturday,,,,,,,,,,
811,2020-03-22,Sunday,,,,,,,,,,
812,2020-03-23,Monday,,,,,,,,,,
813,2020-03-24,Tuesday,,,,,,,,,,
814,2020-03-25,Wednesday,,,,,,,,,,
815,2020-03-26,Thursday,,,,,,,,,,
816,2020-03-27,Friday,,,,,,,,,,
817,2020-03-28,Saturday,,,,,,,,,,
818,2020-03-29,Sunday,,,,,,,,,,
819,2020-03-30,Monday,,,,,,,,,,
820,2020-03-31,Tuesday,,,,,,,,,,
